0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.15150216,-0.037108205,0.21990961,-0.22502694,0.0,0.2002223,-0.03226496,0.28475845,-0.26,0.0,-0.04879141,0.16325727,0.13177784,0.0586066,1.1844268,0.1216947,-0.26748148,-0.035348106,1.0345273
-0.15157336,-0.037065778,0.21985072,-0.22498238,0.0,0.2002072,-0.032273114,0.28467467,-0.26,0.0,-0.05760311,0.14777075,0.12738912,0.057234496,1.1779964,0.123281635,-0.2675719,-0.03537269,1.0346986
-0.15149802,-0.037117407,0.21999004,-0.22508104,0.0,0.20022625,-0.032319598,0.2847513,-0.26,0.0,-0.057471994,0.14755268,0.12652278,0.056517243,1.1783077,0.123265035,-0.26720014,-0.03581179,1.034154
-0.15132928,-0.037213977,0.2202569,-0.22515294,0.0,0.20021316,-0.032322936,0.28501385,-0.26,0.0,-0.057418346,0.14748505,0.1257563,0.05501711,1.1783175,0.12314911,-0.26673692,-0.0366231,1.0336467
-0.15120062,-0.037251584,0.2205737,-0.225172,0.0,0.20007023,-0.032249514,0.285311,-0.26,0.0,-0.05742046,0.1474918,0.12506512,0.053390764,1.1781478,0.122988045,-0.2663067,-0.037133392,1.0332427
-0.15129459,-0.037130546,0.22065435,-0.22492379,0.0,0.19981974,-0.032092996,0.2854301,-0.26,0.0,-0.048873015,0.16238524,0.12797107,0.053508557,1.1848098,0.12133869,-0.2656025,-0.03702654,1.0323488
-0.15165772,-0.036823787,0.22036925,-0.22422437,0.0,0.19954711,-0.031810556,0.28538358,-0.26,0.0,-0.05795621,0.14748451,0.12394019,0.05257065,1.1778847,0.12271442,-0.26557538,-0.037059527,1.0328376
-0.15194595,-0.036592305,0.22005732,-0.22353065,0.0,0.199408,-0.03158899,0.28538126,-0.26,0.0,-0.049712166,0.16240142,0.12725537,0.053801563,1.1847959,0.12124098,-0.26496494,-0.03697707,1.0321431
-0.15189369,-0.03663158,0.22008799,-0.22339474,0.0,0.19943006,-0.031598806,0.28550968,-0.26,0.0,-0.058628645,0.14753404,0.123604976,0.053230643,1.1783386,0.12283169,-0.2651835,-0.037220277,1.0327191
-0.15150085,-0.036942948,0.22049263,-0.22381203,0.0,0.19954474,-0.031847678,0.28577638,-0.26,0.0,-0.049951006,0.16236119,0.12716673,0.05416142,1.1858037,0.12148642,-0.2648566,-0.037401393,1.0322595
-0.15098645,-0.03737277,0.2209282,-0.22425748,0.0,0.19968095,-0.03220112,0.28609735,-0.26,0.0,-0.058468044,0.14737472,0.12372525,0.052693926,1.1798146,0.12302141,-0.2652193,-0.03790634,1.0333242
-0.15072328,-0.03763115,0.22098835,-0.22418065,0.0,0.1997057,-0.032418553,0.28625095,-0.26,0.0,-0.058539473,0.14715071,0.12376566,0.05185425,1.1803962,0.12289587,-0.265182,-0.03792254,1.0340866
-0.1507154,-0.037741326,0.22059211,-0.22353464,0.0,0.19968535,-0.032550845,0.28619167,-0.26,0.0,-0.05022178,0.16151918,0.12714341,0.051969398,1.1877439,0.121161096,-0.26468366,-0.037392125,1.0343074
-0.15083101,-0.037731096,0.22013421,-0.22279894,0.0,0.19967234,-0.032597277,0.28605822,-0.26,0.0,-0.050585743,0.16098283,0.12680478,0.051575817,1.1883119,0.12079602,-0.26438418,-0.036519364,1.0350008
-0.15101235,-0.037584852,0.21984585,-0.2220957,0.0,0.19958718,-0.032468528,0.2859896,-0.26,0.0,-0.05948131,0.14555947,0.12272426,0.050478768,1.181881,0.121725515,-0.26451486,-0.034383144,1.0361139
-0.15127309,-0.03743139,0.2191556,-0.2203763,0.0,0.19938813,-0.03230599,0.28598842,-0.26,0.0,-0.059655078,0.14427839,0.122111775,0.04914842,1.182711,0.12080968,-0.26484376,-0.028806461,1.036459
-0.15148841,-0.0374977,0.21761382,-0.21662542,0.0,0.19900326,-0.032332893,0.28616515,-0.26,0.0,-0.051217645,0.15598993,0.12522697,0.045453902,1.1923184,0.11743447,-0.26563,-0.017925719,1.0364166
-0.15138206,-0.03793193,0.2157064,-0.21136561,0.0,0.19834387,-0.03261037,0.28670833,-0.26,0.0,-0.051254053,0.14994805,0.124914736,0.035465755,1.1975521,0.113667,-0.26725635,-0.0017543327,1.0371442
-0.15095443,-0.038722888,0.21363829,-0.2057672,0.0,0.19761775,-0.03322284,0.2872417,-0.26,0.0,-0.05909927,0.1268122,0.12098673,0.018682677,1.1958212,0.10877555,-0.26882383,0.016651683,1.0368456
-0.15073176,-0.039490126,0.21097028,-0.20048666,0.0,0.19713955,-0.034064118,0.28703555,-0.26,0.0,-0.050209213,0.13052213,0.12437897,0.0010292463,1.2015809,0.0982804,-0.2685694,0.032962475,1.031308
-0.15096629,-0.039964918,0.20785464,-0.19617927,0.0,0.19709855,-0.034995586,0.28592905,-0.26,0.0,-0.048858542,0.11845609,0.12457021,-0.013353599,1.1904103,0.08588353,-0.2682367,0.04672166,1.020485
-0.15145506,-0.040137094,0.20511718,-0.19361064,0.0,0.19751842,-0.035832252,0.28435534,-0.26,0.0,-0.04673407,0.10597867,0.12613079,-0.024035629,1.1658931,0.07052516,-0.2689665,0.06056972,1.0022683
